log_id,user_id,action,action_date
1,2266,Delete Account,2025-01-12 19:30:21
2,8662,Login,2025-01-17 05:38:32
3,7319,Change Password,2025-01-23 13:21:56
4,4175,Change Password,2025-01-15 06:14:33
5,7441,Update Profile,2025-01-29 20:19:22
6,3114,Change Password,2025-01-19 20:45:31
7,4952,Update Profile,2025-01-20 20:29:14
8,399,Change Password,2025-01-21 22:57:58
9,2064,Change Password,2025-01-08 05:56:55
10,9091,Login,2025-01-04 11:27:57
11,4511,Change Password,2025-01-28 16:06:18
12,3588,Delete Account,2025-01-13 00:33:15
13,9775,Logout,2025-01-25 05:46:23
14,9665,Delete Account,2025-01-03 15:09:41
15,7484,Logout,2025-01-19 19:13:18
16,2402,Login,2025-01-24 01:09:29
17,8323,Delete Account,2025-01-01 07:13:29
18,3830,Logout,2025-01-16 12:12:02
19,3881,Delete Account,2025-01-08 09:31:39
20,7214,Login,2025-01-08 10:44:01
21,2523,Change Password,2025-01-22 01:04:19
22,8972,Change Password,2025-01-03 04:08:31
23,2363,Logout,2025-01-04 16:46:14
24,4432,Delete Account,2025-01-12 01:10:55
25,9222,Logout,2025-01-03 00:11:33
26,5500,Delete Account,2025-01-30 07:42:43
27,7501,Login,2025-01-14 11:17:54
28,4290,Logout,2025-01-26 01:33:30
29,7039,Delete Account,2025-01-12 16:06:21
30,8241,Logout,2025-01-08 05:01:35
31,1871,Change Password,2025-01-04 15:21:54
32,9191,Login,2025-01-11 06:27:05
33,3267,Update Profile,2025-01-07 08:01:28
34,194,Update Profile,2025-01-11 09:14:17
35,6569,Delete Account,2025-01-11 14:40:09
36,3759,Delete Account,2025-01-14 16:01:57
37,6260,Update Profile,2025-01-13 01:00:17
38,9769,Login,2025-01-05 10:16:15
39,6580,Logout,2025-01-10 19:21:25
40,5412,Change Password,2025-01-02 02:50:58
41,3120,Update Profile,2025-01-16 12:00:10
42,8146,Logout,2025-01-15 22:50:51
43,8842,Update Profile,2025-01-22 04:50:21
44,8392,Logout,2025-01-20 18:19:20
45,1758,Delete Account,2025-01-13 13:03:52
46,8411,Logout,2025-01-17 22:59:35
47,6187,Delete Account,2025-01-23 03:56:29
48,343,Change Password,2025-01-23 07:51:23
49,4236,Delete Account,2025-01-21 14:26:37
50,3754,Update Profile,2025-01-13 19:56:01
51,6965,Change Password,2025-01-19 13:43:06
52,4349,Delete Account,2025-01-06 06:05:12
53,6275,Delete Account,2025-01-15 23:42:45
54,926,Login,2025-01-30 09:07:00
55,4369,Logout,2025-01-19 18:41:20
56,5060,Change Password,2025-01-08 01:28:49
57,1480,Change Password,2025-01-09 14:06:26
58,1391,Delete Account,2025-01-15 13:19:15
59,989,Delete Account,2025-01-18 06:24:36
60,1464,Logout,2025-01-24 14:45:18
61,8657,Delete Account,2025-01-24 02:29:06
62,6251,Logout,2025-01-19 17:14:04
63,3457,Delete Account,2025-01-20 12:49:42
64,4621,Delete Account,2025-01-28 09:46:04
65,4598,Change Password,2025-01-11 07:07:39
66,7478,Logout,2025-01-04 04:58:19
67,4454,Update Profile,2025-01-13 04:17:07
68,6414,Login,2025-01-25 17:04:09
69,8728,Delete Account,2025-01-23 00:42:04
70,5749,Login,2025-01-18 04:42:53
71,8675,Change Password,2025-01-24 20:15:58
72,9048,Change Password,2025-01-02 23:50:25
73,2327,Logout,2025-01-27 00:50:34
74,4268,Delete Account,2025-01-04 06:01:19
75,1906,Change Password,2025-01-26 21:40:19
76,5622,Login,2025-01-08 00:32:12
77,2731,Update Profile,2025-01-18 06:45:30
78,8802,Delete Account,2025-01-21 09:09:16
79,9874,Change Password,2025-01-11 10:29:52
80,9011,Change Password,2025-01-28 21:10:59
81,6123,Change Password,2025-01-05 17:58:25
82,1052,Change Password,2025-01-17 03:41:57
83,9452,Change Password,2025-01-09 18:59:31
84,211,Update Profile,2025-01-27 12:48:30
85,3521,Login,2025-01-13 17:35:25
86,3990,Update Profile,2025-01-12 11:19:41
87,5865,Change Password,2025-01-11 23:27:45
88,4667,Change Password,2025-01-25 04:29:00
89,1856,Delete Account,2025-01-23 18:19:52
90,8431,Logout,2025-01-23 11:39:41
91,5385,Login,2025-01-25 16:28:03
92,2782,Update Profile,2025-01-29 13:50:43
93,5463,Delete Account,2025-01-07 17:08:45
94,8206,Update Profile,2025-01-17 07:07:24
95,5327,Update Profile,2025-01-22 09:51:39
96,7590,Login,2025-01-08 05:18:20
97,1414,Logout,2025-01-05 05:17:19
98,2812,Change Password,2025-01-21 18:00:44
99,3235,Change Password,2025-01-12 09:03:37
100,237,Change Password,2025-01-26 12:39:27
101,4349,Login,2025-01-25 17:08:26
102,1029,Logout,2025-01-16 13:37:52
103,8276,Login,2025-01-10 08:15:10
