search_id,user_id,search_query,searched_at
1,4935,mouth,2025-01-10 09:24:02
2,588,significant,2025-01-16 02:44:37
3,1306,treat,2025-01-19 14:10:24
4,9733,name,2025-01-13 09:38:18
5,7069,must,2025-01-17 06:48:15
6,4088,line,2025-01-15 11:42:39
7,105,option,2025-01-29 00:58:50
8,3359,budget,2025-01-27 23:53:16
9,5823,defense,2025-01-08 09:55:30
10,9613,live,2025-01-26 18:48:52
11,9918,no,2025-01-11 03:30:29
12,7782,its,2025-01-15 21:04:51
13,7423,job,2025-01-08 08:38:18
14,3817,point,2025-01-20 20:11:24
15,7885,that,2025-01-09 06:19:47
16,6478,help,2025-01-11 16:08:51
17,5013,need,2025-01-18 03:50:28
18,8319,show,2025-01-17 19:14:43
19,6497,south,2025-01-15 18:42:55
20,4251,claim,2025-01-29 20:36:58
21,1973,training,2025-01-22 18:44:57
22,5860,force,2025-01-26 09:49:54
23,7210,against,2025-01-25 09:12:42
24,8058,people,2025-01-28 07:05:21
25,8957,foot,2025-01-25 08:17:21
26,7105,almost,2025-01-07 06:59:13
27,3887,his,2025-01-26 15:00:15
28,5898,better,2025-01-03 13:50:39
29,4424,bag,2025-01-21 04:35:38
30,9958,piece,2025-01-12 21:48:34
31,5452,office,2025-01-11 16:37:09
32,8264,writer,2025-01-14 05:26:35
33,924,physical,2025-01-20 10:19:39
34,5585,dream,2025-01-20 16:17:31
35,1988,attention,2025-01-24 08:52:19
36,7282,reality,2025-01-14 15:06:41
37,5537,support,2025-01-11 04:49:45
38,2863,social,2025-01-04 18:43:06
39,1534,process,2025-01-11 19:52:44
40,9092,investment,2025-01-02 04:10:30
41,1104,manage,2025-01-03 07:03:50
42,7088,wind,2025-01-19 03:34:24
43,4118,threat,2025-01-01 21:31:45
44,1291,early,2025-01-18 12:46:33
45,7145,camera,2025-01-03 23:10:09
46,369,foreign,2025-01-16 10:00:37
47,8425,item,2025-01-20 12:36:51
48,3940,point,2025-01-01 23:02:27
49,9724,low,2025-01-20 13:35:45
50,7311,across,2025-01-11 11:10:13
51,2434,blood,2025-01-25 21:07:01
52,560,concern,2025-01-09 03:24:00
53,326,structure,2025-01-27 16:49:18
54,6300,sound,2025-01-24 13:41:44
55,1727,concern,2025-01-23 19:29:15
56,224,rock,2025-01-15 20:32:01
57,4689,reflect,2025-01-02 22:23:22
58,2445,nice,2025-01-17 22:07:01
59,6409,off,2025-01-25 21:39:02
60,8562,music,2025-01-22 18:33:28
61,3777,summer,2025-01-04 05:55:40
62,5246,food,2025-01-09 03:43:56
63,7262,themselves,2025-01-12 09:11:41
64,6620,fund,2025-01-28 20:26:24
65,2586,perform,2025-01-15 04:57:04
66,6010,that,2025-01-15 04:59:20
67,6532,rise,2025-01-06 01:08:04
68,4116,across,2025-01-15 15:28:31
69,5144,account,2025-01-30 14:25:40
70,9446,black,2025-01-27 09:25:11
71,975,term,2025-01-29 16:31:46
72,5713,deal,2025-01-28 04:04:38
73,7820,blue,2025-01-19 05:23:43
74,6371,behind,2025-01-08 15:10:59
75,1085,during,2025-01-17 17:16:17
76,6513,become,2025-01-12 10:09:57
77,8982,adult,2025-01-15 14:59:22
78,1061,fund,2025-01-22 02:30:14
79,8476,degree,2025-01-12 19:30:48
80,2511,cup,2025-01-13 05:40:34
81,5787,little,2025-01-28 19:14:41
82,3745,call,2025-01-26 07:25:36
83,1017,Democrat,2025-01-14 13:37:52
84,8363,later,2025-01-11 09:17:32
85,7583,create,2025-01-12 19:16:33
86,6183,new,2025-01-10 06:19:34
87,5050,simply,2025-01-23 03:50:20
88,1400,anything,2025-01-24 03:33:03
