order_item_id,order_id,product_id,quantity,price
1,14670,16,1,65.44
2,11764,21,4,483.29
3,18150,21,5,64.48
4,15424,17,4,6.2
5,7393,44,3,337.48
6,26705,50,3,10.52
7,24329,75,2,276.13
8,7888,46,5,404.34
9,7355,1,3,328.4
10,23541,24,2,443.0
11,9088,41,5,457.69
12,28578,80,2,122.89
13,14341,38,5,110.44
14,4404,15,2,45.72
15,21306,53,1,452.05
16,15114,18,3,458.32
17,23632,33,3,387.75
18,15300,51,3,373.9
19,14248,46,5,215.88
20,21210,13,4,450.74
21,1229,80,2,436.11
22,4068,18,2,131.84
23,24059,4,1,84.03
24,6952,65,5,127.25
25,23532,5,2,346.07
26,5973,73,5,93.26
27,17175,13,2,81.83
28,25135,6,3,91.48
29,1632,54,1,157.89
30,17443,67,3,360.67
31,14299,43,4,243.97
32,29904,41,2,431.05
33,26046,71,5,45.28
34,21810,14,2,195.55
35,12735,14,4,372.16
36,13337,20,3,266.89
37,28622,37,4,252.95
38,18342,79,2,220.29
39,25123,77,1,446.81
40,22487,2,5,70.41
41,27603,54,2,84.5
42,28299,22,1,90.67
43,17747,11,5,184.18
44,28121,75,2,212.65
45,15144,53,1,353.32
46,7530,68,2,18.41
47,19500,68,3,355.33
48,29844,76,5,361.36
49,16653,28,4,398.93
50,27044,44,5,337.7
51,12747,37,2,171.05
52,25178,55,2,25.67
53,29543,46,4,217.67
54,29487,31,3,207.8
55,19832,54,4,427.61
56,19273,18,5,369.87
57,17882,45,1,249.69
58,28971,72,4,95.79
59,7953,47,3,198.27
60,880,21,5,192.13
61,1373,39,1,262.67
62,19856,9,3,128.42
63,29623,19,1,302.87
64,15482,35,2,409.76
65,16503,70,3,332.76
66,2688,56,5,445.62
67,22311,31,3,398.09
68,18150,27,1,53.03
69,19524,48,1,287.21
70,22539,30,5,350.92
71,29639,67,5,136.59
72,4446,42,4,362.29
73,27639,38,3,333.83
74,7881,17,3,360.9
75,2468,7,5,278.04
76,9221,41,2,328.34
77,28780,18,5,80.51
78,16387,76,5,227.97
79,11684,49,1,119.6
80,6543,45,3,30.05
81,13892,14,1,193.0
82,27175,79,2,15.7
83,24545,75,5,313.98
84,23998,21,5,34.79
85,598,67,1,268.13
86,21912,31,2,314.55
87,18158,72,1,33.89
88,9937,22,3,169.74
89,12175,31,1,109.89
90,6828,47,1,165.36
91,27731,46,1,317.24
92,7850,75,2,312.27
93,7269,71,1,145.62
94,15735,23,5,292.73
95,11704,10,5,46.35
96,12110,26,2,182.94
97,26402,20,5,235.74
98,27451,20,1,187.89
99,9967,47,5,407.95
100,18455,9,2,43.11
101,12439,60,2,131.93
102,11728,59,2,352.6
103,12491,21,4,270.81
104,22483,21,3,151.81
105,7627,14,4,274.26
106,19690,33,2,190.95
107,24842,20,1,77.76
108,2197,8,4,278.98
109,2097,56,1,447.63
110,22751,32,4,413.01
111,4840,78,4,106.76
112,17660,68,2,136.07
113,23779,23,4,496.27
114,12895,45,2,320.63
115,12008,37,2,407.72
116,17154,57,1,43.28
117,2397,28,3,6.22
118,26766,59,2,419.19
119,16560,24,4,14.72
120,8063,20,3,253.75
121,15283,51,5,400.69
122,9331,2,3,52.28
123,19213,35,4,440.31
124,28882,1,4,324.57
125,21725,4,4,104.66
126,25264,2,5,485.66
127,5529,9,1,317.25
128,29656,65,2,338.13
129,13751,48,4,310.67
130,23594,55,4,217.89
131,1512,45,1,195.09
132,20824,60,4,185.03
133,15665,9,2,187.08
134,26294,38,5,214.0
135,12984,78,5,262.44
136,18330,37,1,349.07
137,23609,31,3,493.87
138,28069,1,1,15.15
139,27647,14,5,364.55
140,10217,3,1,141.7
141,23161,1,1,173.25
142,22245,12,1,449.48
143,91,65,4,127.47
144,6827,57,4,390.29
145,7642,44,3,5.59
146,14426,69,2,8.09
147,16326,13,3,332.86
148,10065,36,3,247.78
149,15138,77,2,249.83
150,8818,73,4,300.4
151,16365,48,5,431.88
152,13418,40,2,208.33
153,12771,30,2,256.12
154,17028,20,5,453.57
155,22253,64,3,83.31
156,13661,62,1,289.95
157,18848,6,5,335.42
158,7669,30,3,159.78
159,17749,22,1,213.28
160,28979,77,3,451.1
161,2832,12,4,170.19
162,19720,27,1,348.02
163,7018,77,3,281.28
164,381,43,5,435.36
165,21956,58,1,368.8
166,12229,13,5,354.43
167,12317,37,1,106.05
168,10034,62,2,192.97
169,11518,4,4,62.24
170,10098,41,2,252.78
171,26407,30,3,434.36
172,6546,30,4,95.45
173,28259,42,4,9.51
174,25395,75,2,458.98
175,1676,59,3,488.97
176,2635,5,3,141.57
177,802,71,5,171.87
178,23208,58,4,400.87
179,22740,10,1,207.08
180,25129,72,5,143.44
181,19708,45,2,331.8
182,16601,62,4,476.72
183,27879,65,5,107.28
184,27949,30,3,463.84
185,20374,9,5,139.75
186,28048,76,5,493.66
187,16521,13,5,173.88
188,19897,56,1,354.43
189,9871,45,4,397.09
190,2347,42,2,248.86
191,27445,65,4,202.11
192,10343,4,1,448.89
193,20130,26,5,249.77
194,5181,50,3,142.92
195,7576,23,1,156.03
196,14041,19,2,320.52
197,17911,62,1,115.5
198,23181,41,4,227.01
199,983,36,2,341.93
200,8086,69,2,388.56
201,12569,53,1,366.69
202,1127,60,1,461.73
203,8574,66,4,359.77
204,8107,38,4,351.41
205,4523,63,4,469.36
206,7283,73,4,151.53
207,23083,77,3,229.27
208,22750,44,3,376.25
209,22742,65,2,373.07
210,716,50,2,89.16
211,8734,43,1,472.68
212,24315,64,4,246.76
213,24312,17,2,76.9
214,23898,2,2,424.53
215,21678,62,3,282.44
