order_id,user_id,total_amount,order_status,order_date
1,7393,392.97,Cancelled,2025-01-10 22:49:34
2,8398,245.39,Shipped,2025-01-26 05:24:52
3,1591,1243.67,Shipped,2025-01-01 11:45:39
4,1280,705.36,Shipped,2025-01-08 11:08:58
5,7527,831.48,Cancelled,2025-01-26 05:48:56
6,5048,142.7,Cancelled,2025-01-26 19:58:26
7,5447,713.15,Cancelled,2025-01-29 16:01:21
8,7156,1198.6,Shipped,2025-01-12 13:10:01
9,1770,756.59,Cancelled,2025-01-26 20:17:02
10,8492,1057.57,Shipped,2025-01-12 18:57:40
11,5442,1327.16,Delivered,2025-01-17 16:51:08
12,1048,1054.81,Shipped,2025-01-09 23:38:48
13,2697,293.17,Cancelled,2025-01-21 21:57:08
14,376,809.03,Cancelled,2025-01-10 00:49:49
15,6119,370.15,Cancelled,2025-01-02 20:52:16
16,4293,172.85,Delivered,2025-01-28 15:08:14
17,615,782.54,Pending,2025-01-20 08:56:13
18,4394,789.24,Delivered,2025-01-22 07:27:45
19,8324,423.51,Cancelled,2025-01-12 03:58:39
20,3241,1186.95,Delivered,2025-01-16 05:08:45
21,5116,939.28,Delivered,2025-01-14 16:51:58
22,5736,1369.45,Cancelled,2025-01-22 04:15:51
23,7585,91.54,Pending,2025-01-13 04:47:17
24,6965,1075.66,Delivered,2025-01-10 11:23:27
25,8820,949.72,Cancelled,2025-01-15 12:25:44
26,2161,1460.16,Shipped,2025-01-04 02:02:29
27,5631,328.0,Delivered,2025-01-26 07:08:33
28,5015,1335.11,Shipped,2025-01-17 09:25:03
29,1105,662.69,Pending,2025-01-14 22:44:05
30,3664,481.48,Cancelled,2025-01-24 11:31:28
31,2769,675.36,Delivered,2025-01-29 15:47:33
32,1192,745.99,Cancelled,2025-01-16 05:09:27
33,4652,1229.92,Pending,2025-01-24 16:18:14
34,7015,258.99,Cancelled,2025-01-28 03:26:16
35,577,1340.46,Shipped,2025-01-08 18:09:24
36,7825,534.53,Pending,2025-01-17 11:48:55
37,7790,211.78,Cancelled,2025-01-28 15:45:11
38,9214,246.41,Cancelled,2025-01-29 19:24:50
39,1246,892.78,Shipped,2025-01-18 18:13:01
40,9188,691.35,Delivered,2025-01-04 10:19:37
41,4667,113.64,Cancelled,2025-01-14 05:07:16
42,3331,609.88,Shipped,2025-01-05 20:22:10
43,9880,136.73,Shipped,2025-01-06 00:26:37
44,3705,111.68,Delivered,2025-01-02 14:19:49
45,6040,160.73,Shipped,2025-01-19 11:36:56
46,7223,808.92,Pending,2025-01-05 14:33:57
47,8973,1399.27,Shipped,2025-01-27 02:36:32
48,4241,345.02,Cancelled,2025-01-24 16:44:42
49,7248,445.31,Delivered,2025-01-01 06:38:07
50,6710,763.0,Pending,2025-01-27 15:45:55
51,5719,233.33,Pending,2025-01-06 03:05:14
52,39,329.71,Cancelled,2025-01-05 16:16:47
53,5575,1224.64,Delivered,2025-01-28 09:02:03
54,4877,626.36,Cancelled,2025-01-04 19:28:08
55,8191,342.11,Pending,2025-01-07 14:52:57
56,6157,1430.71,Pending,2025-01-11 12:54:31
57,8123,166.27,Delivered,2025-01-02 03:45:08
58,4329,868.49,Pending,2025-01-11 04:42:36
59,4372,391.76,Pending,2025-01-14 05:09:14
60,5516,1266.29,Delivered,2025-01-26 18:20:31
61,3503,927.98,Pending,2025-01-19 03:29:02
62,1342,344.7,Shipped,2025-01-22 11:53:24
63,4032,1336.21,Pending,2025-01-17 03:07:01
64,8196,471.87,Shipped,2025-01-20 07:02:10
65,6835,749.07,Cancelled,2025-01-10 05:20:35
66,7863,1217.58,Cancelled,2025-01-09 07:43:23
67,8526,584.95,Cancelled,2025-01-04 01:22:30
68,2067,1060.16,Pending,2025-01-01 05:18:50
69,3268,1493.67,Shipped,2025-01-16 13:30:35
70,6998,451.52,Cancelled,2025-01-07 17:26:47
71,2917,667.47,Delivered,2025-01-24 07:19:02
72,8106,212.15,Delivered,2025-01-22 06:00:26
73,9208,638.83,Shipped,2025-01-09 10:34:59
74,4455,398.78,Cancelled,2025-01-24 15:38:02
75,2420,475.22,Shipped,2025-01-15 23:22:04
76,3322,631.24,Pending,2025-01-25 12:43:11
77,7795,1246.69,Shipped,2025-01-19 20:12:06
78,4852,137.27,Cancelled,2025-01-01 23:25:35
79,652,656.48,Shipped,2025-01-26 04:14:05
80,5132,231.96,Delivered,2025-01-28 11:04:59
81,1481,774.41,Cancelled,2025-01-25 10:32:29
82,7781,599.41,Delivered,2025-01-05 18:02:30
83,1176,1408.38,Delivered,2025-01-28 02:53:51
84,7194,805.41,Shipped,2025-01-17 16:45:40
85,5934,1046.13,Shipped,2025-01-06 06:56:48
86,7884,386.07,Delivered,2025-01-06 23:46:59
87,3815,1085.94,Pending,2025-01-23 12:21:11
88,2563,420.81,Delivered,2025-01-29 00:05:46
89,2398,1089.71,Pending,2025-01-20 15:35:04
90,9079,986.05,Cancelled,2025-01-24 19:48:08
91,3163,288.7,Pending,2025-01-05 04:29:43
92,7097,754.28,Pending,2025-01-09 00:23:48
93,1802,933.96,Shipped,2025-01-23 03:19:47
94,3235,167.29,Cancelled,2025-01-29 19:19:12
95,8532,1109.66,Delivered,2025-01-06 15:36:41
96,1796,1182.09,Pending,2025-01-04 00:35:26
97,5055,671.91,Shipped,2025-01-05 10:35:13
98,2986,49.52,Pending,2025-01-06 18:32:07
99,263,1014.65,Shipped,2025-01-18 00:54:45
100,880,1306.89,Shipped,2025-01-06 09:42:47
101,2147,980.91,Pending,2025-01-13 11:35:20
102,8951,276.89,Pending,2025-01-15 03:42:45
103,7911,1139.67,Pending,2025-01-01 09:58:04
104,3984,514.21,Cancelled,2025-01-11 10:59:10
105,4664,678.45,Pending,2025-01-27 00:06:55
106,88,722.39,Shipped,2025-01-14 15:25:35
107,3315,89.63,Cancelled,2025-01-10 07:23:06
108,6692,660.19,Cancelled,2025-01-07 13:15:14
109,2946,1387.89,Delivered,2025-01-25 05:20:24
110,7923,806.7,Shipped,2025-01-14 15:23:06
111,5493,1404.27,Shipped,2025-01-25 05:44:27
112,6387,993.29,Shipped,2025-01-25 13:19:38
113,2540,1236.77,Cancelled,2025-01-28 20:12:20
114,9485,831.73,Cancelled,2025-01-23 10:52:13
115,5662,1044.12,Shipped,2025-01-13 10:58:08
116,2477,1032.29,Cancelled,2025-01-06 13:48:55
117,2100,926.13,Pending,2025-01-15 03:24:36
118,4823,153.31,Shipped,2025-01-09 21:40:53
119,2073,142.65,Cancelled,2025-01-27 13:09:25
120,9789,1066.78,Pending,2025-01-17 07:27:42
121,3634,208.75,Pending,2025-01-21 20:33:58
122,2376,358.22,Cancelled,2025-01-20 07:00:53
123,7035,126.86,Cancelled,2025-01-24 11:41:41
124,7522,292.86,Shipped,2025-01-28 00:09:53
125,4228,1030.11,Cancelled,2025-01-03 06:18:04
126,5416,307.51,Pending,2025-01-01 23:16:46
127,2502,1459.09,Shipped,2025-01-01 09:19:44
128,837,1338.56,Shipped,2025-01-13 08:17:23
129,8512,962.54,Shipped,2025-01-25 13:25:53
130,2183,548.05,Cancelled,2025-01-12 08:10:48
131,6931,401.42,Delivered,2025-01-22 06:15:36
132,417,159.53,Cancelled,2025-01-23 12:00:37
133,7934,652.55,Shipped,2025-01-10 04:14:56
134,5702,408.33,Pending,2025-01-21 21:22:24
135,9735,812.62,Cancelled,2025-01-28 16:09:52
136,8425,1297.14,Shipped,2025-01-05 15:15:22
137,1736,635.83,Cancelled,2025-01-03 04:39:08
138,7307,1412.73,Pending,2025-01-11 10:14:16
139,3573,594.14,Delivered,2025-01-11 19:54:10
140,1234,346.36,Pending,2025-01-23 05:49:16
141,1615,1032.21,Pending,2025-01-10 14:40:29
142,7160,1031.01,Cancelled,2025-01-27 04:47:48
143,420,615.79,Pending,2025-01-13 11:24:10
144,1299,697.73,Pending,2025-01-18 17:09:01
145,2092,786.71,Shipped,2025-01-15 08:54:00
146,4718,238.88,Pending,2025-01-25 09:04:56
147,235,315.14,Cancelled,2025-01-06 05:11:08
148,3106,191.01,Cancelled,2025-01-08 22:55:07
149,6995,1148.33,Cancelled,2025-01-26 09:43:09
150,892,25.32,Pending,2025-01-17 20:11:50
151,3218,155.53,Pending,2025-01-06 05:56:58
152,6878,195.66,Cancelled,2025-01-21 08:41:34
153,131,200.84,Cancelled,2025-01-04 12:37:31
154,8847,438.44,Pending,2025-01-03 08:23:16
155,2310,1355.94,Pending,2025-01-09 06:35:57
156,7706,729.82,Pending,2025-01-25 10:21:36
157,8478,944.3,Cancelled,2025-01-07 22:12:10
158,1821,1222.66,Pending,2025-01-25 16:37:19
159,5730,1028.02,Delivered,2025-01-29 01:17:11
160,7277,129.92,Delivered,2025-01-24 08:43:54
161,5870,909.19,Shipped,2025-01-24 07:32:33
162,8589,671.71,Shipped,2025-01-19 00:57:24
163,4539,728.64,Delivered,2025-01-16 20:30:08
164,9566,1213.72,Delivered,2025-01-01 16:13:07
165,9201,767.14,Pending,2025-01-12 22:26:17
166,7791,619.77,Shipped,2025-01-10 16:36:06
167,5850,216.39,Shipped,2025-01-22 14:38:06
168,5815,378.77,Cancelled,2025-01-05 20:19:16
169,2615,225.41,Pending,2025-01-17 20:39:16
170,8555,927.72,Delivered,2025-01-25 10:25:14
171,1136,857.51,Cancelled,2025-01-07 21:33:42
172,735,1492.73,Cancelled,2025-01-29 18:12:49
173,9564,1193.03,Shipped,2025-01-10 05:56:45
174,3441,680.05,Delivered,2025-01-01 10:32:42
175,1777,629.69,Cancelled,2025-01-08 23:49:06
176,9890,1266.42,Delivered,2025-01-08 11:11:23
177,3697,912.26,Delivered,2025-01-28 15:19:05
178,8393,1079.87,Delivered,2025-01-01 19:05:36
179,9455,317.16,Delivered,2025-01-11 05:24:37
180,6583,594.07,Shipped,2025-01-22 02:06:20
181,3710,332.51,Delivered,2025-01-02 18:17:11
182,5956,890.6,Pending,2025-01-01 15:51:19
183,6093,405.43,Delivered,2025-01-16 16:39:27
184,3051,188.4,Pending,2025-01-17 17:26:46
185,3777,276.72,Delivered,2025-01-14 15:13:07
186,1533,1196.35,Cancelled,2025-01-23 23:36:08
187,3732,767.74,Delivered,2025-01-28 00:22:24
188,3950,1147.53,Shipped,2025-01-03 04:00:30
189,5438,75.37,Shipped,2025-01-26 19:27:11
190,8470,476.81,Cancelled,2025-01-15 16:42:45
191,6871,612.78,Delivered,2025-01-14 12:47:38
192,2884,984.73,Cancelled,2025-01-14 01:44:51
193,6588,932.74,Delivered,2025-01-21 04:11:30
194,8308,1450.68,Shipped,2025-01-09 23:59:01
195,5678,562.67,Delivered,2025-01-09 08:08:51
196,310,1130.81,Cancelled,2025-01-15 07:16:48
197,3833,153.83,Pending,2025-01-16 13:36:35
198,8815,335.77,Shipped,2025-01-11 10:41:42
199,5371,116.33,Delivered,2025-01-10 01:06:14
200,146,117.61,Delivered,2025-01-02 18:03:07
201,4605,218.95,Shipped,2025-01-10 14:26:51
202,4412,582.29,Shipped,2025-01-27 19:58:16
203,9090,400.2,Shipped,2025-01-28 21:59:26
204,6244,1177.71,Shipped,2025-01-18 12:58:15
205,802,1234.48,Pending,2025-01-01 19:27:37
206,1738,954.39,Cancelled,2025-01-21 08:33:14
207,782,982.15,Shipped,2025-01-06 14:46:22
208,1285,1198.88,Pending,2025-01-04 17:25:24
209,6649,439.16,Shipped,2025-01-22 12:15:32
210,3367,949.38,Cancelled,2025-01-29 03:01:04
211,2422,406.46,Pending,2025-01-22 17:16:24
212,959,1142.35,Cancelled,2025-01-13 21:42:49
213,19,695.8,Shipped,2025-01-03 07:59:19
214,786,1354.27,Cancelled,2025-01-19 11:49:55
215,5104,410.79,Shipped,2025-01-07 03:15:13
216,2700,716.05,Shipped,2025-01-21 03:53:26
217,1708,356.4,Delivered,2025-01-24 06:12:26
218,9610,194.57,Delivered,2025-01-23 15:06:49
219,8785,194.44,Pending,2025-01-20 14:40:20
220,9324,1185.66,Pending,2025-01-28 14:34:11
221,3572,153.15,Pending,2025-01-25 21:56:31
222,9732,273.85,Delivered,2025-01-27 14:05:30
223,6345,146.39,Shipped,2025-01-08 11:31:21
224,651,976.62,Delivered,2025-01-11 03:12:25
225,8034,186.11,Pending,2025-01-06 16:51:22
226,3173,179.39,Delivered,2025-01-10 17:38:06
227,3117,895.04,Delivered,2025-01-20 16:23:31
228,1850,774.36,Shipped,2025-01-27 01:14:21
229,2998,937.14,Cancelled,2025-01-06 02:37:17
230,6028,1127.01,Delivered,2025-01-01 21:23:32
231,6869,1431.06,Delivered,2025-01-09 04:17:18
232,6424,915.37,Cancelled,2025-01-01 04:07:53
233,1179,1021.82,Pending,2025-01-12 01:01:35
234,4334,895.56,Shipped,2025-01-13 04:24:59
235,2493,824.17,Pending,2025-01-23 15:35:34
236,706,220.25,Pending,2025-01-10 22:08:41
237,6296,1495.12,Delivered,2025-01-18 10:55:06
238,2077,367.68,Shipped,2025-01-19 01:43:29
239,1844,299.95,Pending,2025-01-22 14:13:02
240,4328,980.37,Shipped,2025-01-10 04:48:08
241,589,1308.64,Pending,2025-01-27 20:01:12
242,2530,1488.34,Cancelled,2025-01-10 07:52:09
243,4400,1180.04,Shipped,2025-01-09 11:05:38
244,9445,720.66,Pending,2025-01-29 02:34:55
245,9706,195.79,Pending,2025-01-14 19:38:24
