payment_id,order_id,user_id,payment_status,payment_method,payment_date
1,4971,8334,Failed,Credit Card,2025-01-19 02:24:35
2,24331,3787,Completed,PayPal,2025-01-03 10:35:39
3,2185,3235,Completed,Bank Transfer,2025-01-05 19:15:55
4,16540,1039,Completed,PayPal,2025-01-20 03:00:20
5,16336,315,Pending,Bank Transfer,2025-01-26 13:20:34
6,18270,3173,Failed,Cryptocurrency,2025-01-11 01:26:19
7,16764,6017,Failed,Cryptocurrency,2025-01-11 08:57:57
8,18875,2642,Failed,PayPal,2025-01-16 07:26:50
9,16241,7153,Pending,Credit Card,2025-01-05 06:11:16
10,22876,9517,Failed,PayPal,2025-01-24 05:18:29
11,1094,6848,Completed,PayPal,2025-01-06 14:01:36
12,28304,1408,Completed,PayPal,2025-01-28 15:41:40
13,17334,6286,Failed,Bank Transfer,2025-01-11 09:11:28
14,2613,2869,Pending,Credit Card,2025-01-10 21:06:39
15,15494,5912,Completed,Cryptocurrency,2025-01-22 22:29:21
16,9595,8166,Pending,Cryptocurrency,2025-01-04 01:54:42
17,28301,8209,Completed,PayPal,2025-01-01 09:41:50
18,17309,8925,Completed,Credit Card,2025-01-15 21:15:50
19,20601,3060,Pending,Bank Transfer,2025-01-15 12:34:57
20,27593,6916,Completed,Cryptocurrency,2025-01-07 13:04:33
21,1227,6888,Failed,Cryptocurrency,2025-01-14 01:53:03
22,3971,7941,Failed,Cryptocurrency,2025-01-22 15:27:41
23,20091,9210,Failed,Credit Card,2025-01-10 11:26:56
24,14450,8318,Completed,Bank Transfer,2025-01-05 12:51:00
25,19198,6044,Pending,Bank Transfer,2025-01-06 01:48:51
26,10420,66,Pending,Cryptocurrency,2025-01-13 23:37:19
27,20256,5959,Pending,Credit Card,2025-01-12 09:55:09
28,27095,9512,Completed,Credit Card,2025-01-13 12:21:39
29,13472,4382,Pending,PayPal,2025-01-27 18:33:41
30,20169,282,Completed,Bank Transfer,2025-01-02 22:24:35
31,20155,4779,Failed,PayPal,2025-01-02 07:03:13
32,8641,3847,Pending,PayPal,2025-01-02 03:36:43
33,25049,7540,Pending,Bank Transfer,2025-01-21 04:12:51
34,22375,8759,Pending,Bank Transfer,2025-01-01 19:56:08
35,16464,7135,Completed,Credit Card,2025-01-01 18:56:34
36,3113,5578,Pending,PayPal,2025-01-08 13:11:30
37,27046,6079,Pending,Credit Card,2025-01-23 20:08:30
38,19575,8720,Pending,Credit Card,2025-01-25 07:02:50
39,560,848,Completed,Cryptocurrency,2025-01-21 04:02:05
40,20953,6073,Completed,Credit Card,2025-01-02 11:07:09
41,6203,7025,Failed,Credit Card,2025-01-06 18:20:05
42,16785,3389,Pending,PayPal,2025-01-15 22:02:45
43,9201,8530,Completed,Credit Card,2025-01-15 23:34:45
44,20931,3762,Failed,Bank Transfer,2025-01-09 23:53:17
45,25668,8789,Pending,Cryptocurrency,2025-01-01 14:28:49
46,9053,6387,Completed,PayPal,2025-01-05 02:50:05
47,11234,9660,Completed,PayPal,2025-01-10 21:31:22
48,8756,8192,Pending,Credit Card,2025-01-21 08:00:22
49,12465,2429,Failed,PayPal,2025-01-29 18:08:22
50,16495,3303,Pending,Cryptocurrency,2025-01-28 20:52:55
51,9420,9106,Failed,Bank Transfer,2025-01-04 02:31:14
52,23495,6005,Pending,PayPal,2025-01-11 22:24:52
53,668,1792,Pending,PayPal,2025-01-14 13:14:12
54,21023,7004,Pending,Credit Card,2025-01-08 02:10:50
55,5939,4950,Pending,Bank Transfer,2025-01-19 00:44:48
56,4002,9981,Failed,Cryptocurrency,2025-01-26 09:52:28
57,3208,9433,Completed,Bank Transfer,2025-01-24 03:58:44
58,10576,5626,Failed,PayPal,2025-01-21 06:33:07
59,16393,2782,Pending,Bank Transfer,2025-01-04 11:04:29
60,12940,6719,Pending,Bank Transfer,2025-01-13 02:47:40
61,17732,8004,Pending,Cryptocurrency,2025-01-17 04:58:53
62,10246,2677,Failed,PayPal,2025-01-25 01:04:30
63,13045,159,Pending,Bank Transfer,2025-01-30 01:05:14
64,16387,4733,Pending,Credit Card,2025-01-14 22:54:20
65,16632,7481,Pending,PayPal,2025-01-25 18:25:53
66,19267,931,Completed,Bank Transfer,2025-01-19 13:40:41
67,25162,7699,Pending,Bank Transfer,2025-01-12 20:03:25
68,17519,1815,Pending,Bank Transfer,2025-01-13 14:00:44
69,25163,6351,Failed,Cryptocurrency,2025-01-14 10:37:19
70,26564,9064,Failed,PayPal,2025-01-01 18:19:07
71,22807,2262,Failed,Credit Card,2025-01-21 13:08:02
72,26745,5827,Failed,Cryptocurrency,2025-01-02 00:11:16
73,19693,2681,Completed,Bank Transfer,2025-01-19 22:49:54
74,3809,45,Pending,Bank Transfer,2025-01-04 14:53:50
75,22993,2616,Failed,Bank Transfer,2025-01-18 23:02:11
76,9806,5501,Pending,Credit Card,2025-01-13 11:29:45
77,7886,2151,Pending,Bank Transfer,2025-01-22 13:00:36
78,8757,1015,Pending,Credit Card,2025-01-01 22:03:25
79,11483,1115,Failed,Bank Transfer,2025-01-09 05:37:08
80,18207,8931,Completed,Credit Card,2025-01-29 17:16:07
81,13890,1633,Pending,Cryptocurrency,2025-01-25 14:05:36
82,9826,2761,Failed,PayPal,2025-01-09 22:55:07
