coupon_id,coupon_code,discount_percentage,expiration_date
1,COUPON-829199,11.06,2025-09-01 16:23:02
2,COUPON-602653,29.35,2025-03-15 16:23:02
3,COUPON-682308,13.44,2025-04-07 16:23:02
4,COUPON-242708,27.2,2025-11-01 16:23:02
5,COUPON-232262,18.18,2025-05-05 16:23:02
6,COUPON-764498,8.15,2025-10-04 16:23:02
7,COUPON-897077,27.03,2025-07-17 16:23:02
8,COUPON-820422,24.38,2025-04-01 16:23:02
9,COUPON-765316,15.57,2025-03-07 16:23:02
10,COUPON-247555,16.62,2025-10-01 16:23:02
11,COUPON-197930,19.76,2025-11-12 16:23:02
12,COUPON-925628,25.68,2025-10-22 16:23:02
13,COUPON-763779,17.27,2026-01-08 16:23:02
14,COUPON-852128,20.73,2025-09-11 16:23:02
15,COUPON-144349,5.69,2025-04-04 16:23:02
16,COUPON-469385,11.66,2025-05-21 16:23:02
17,COUPON-710870,15.36,2025-05-05 16:23:02
18,COUPON-656395,27.77,2025-03-21 16:23:02
19,COUPON-245904,7.97,2026-01-29 16:23:02
20,COUPON-534043,27.88,2025-06-01 16:23:02
21,COUPON-360651,19.04,2025-05-03 16:23:02
22,COUPON-617049,19.13,2025-05-17 16:23:02
23,COUPON-858113,28.96,2025-10-23 16:23:02
24,COUPON-277572,18.12,2025-12-28 16:23:02
25,COUPON-972576,5.99,2025-09-23 16:23:02
26,COUPON-299944,19.51,2025-05-04 16:23:02
27,COUPON-973365,26.18,2025-08-02 16:23:02
28,COUPON-211067,23.79,2025-07-22 16:23:02
29,COUPON-163580,8.23,2025-12-27 16:23:02
30,COUPON-839527,19.96,2025-12-26 16:23:02
31,COUPON-269226,26.59,2025-05-05 16:23:02
32,COUPON-691022,6.19,2025-03-14 16:23:02
33,COUPON-351040,22.25,2025-10-19 16:23:02
34,COUPON-198240,24.58,2025-03-08 16:23:02
35,COUPON-501181,25.47,2025-07-21 16:23:02
36,COUPON-673663,15.21,2025-07-06 16:23:02
37,COUPON-500650,27.54,2025-09-04 16:23:02
38,COUPON-992493,8.67,2025-09-26 16:23:02
39,COUPON-708222,7.63,2026-01-01 16:23:02
40,COUPON-731749,7.31,2025-04-22 16:23:02
41,COUPON-847237,8.6,2026-01-06 16:23:02
42,COUPON-727926,21.65,2025-09-22 16:23:02
43,COUPON-829527,20.73,2026-01-09 16:23:02
44,COUPON-570069,21.86,2025-12-30 16:23:02
45,COUPON-869289,13.44,2025-07-20 16:23:02
46,COUPON-521690,11.57,2025-04-12 16:23:02
47,COUPON-819552,6.09,2026-01-25 16:23:02
48,COUPON-164047,13.45,2025-10-16 16:23:02
49,COUPON-155289,28.1,2025-09-13 16:23:02
50,COUPON-951729,21.24,2025-06-01 16:23:02
51,COUPON-623492,23.78,2025-04-19 16:23:02
52,COUPON-109190,15.58,2025-08-13 16:23:02
53,COUPON-386466,25.43,2025-04-29 16:23:02
54,COUPON-167280,17.91,2025-07-29 16:23:02
55,COUPON-822495,6.77,2025-05-08 16:23:02
56,COUPON-990736,13.1,2025-08-09 16:23:02
57,COUPON-460307,7.32,2025-05-02 16:23:02
58,COUPON-622989,8.01,2025-10-11 16:23:02
59,COUPON-198409,12.76,2025-04-07 16:23:02
60,COUPON-983134,19.0,2025-04-16 16:23:02
61,COUPON-771203,10.86,2025-05-22 16:23:02
62,COUPON-737324,25.56,2025-08-30 16:23:02
63,COUPON-356657,10.55,2025-10-12 16:23:02
64,COUPON-962762,26.22,2025-07-29 16:23:02
65,COUPON-953124,6.71,2025-11-08 16:23:02
66,COUPON-333989,25.14,2025-06-30 16:23:02
67,COUPON-125378,6.43,2025-03-30 16:23:02
68,COUPON-819952,25.87,2025-10-11 16:23:02
69,COUPON-337864,6.81,2025-09-22 16:23:02
70,COUPON-504355,13.28,2025-12-16 16:23:02
71,COUPON-870373,14.81,2025-11-10 16:23:02
72,COUPON-838421,29.47,2025-07-17 16:23:02
73,COUPON-932631,25.44,2025-10-01 16:23:02
74,COUPON-150362,8.61,2025-11-02 16:23:02
75,COUPON-480506,5.23,2025-05-03 16:23:02
76,COUPON-925703,16.17,2025-06-21 16:23:02
77,COUPON-697670,13.27,2025-04-02 16:23:02
78,COUPON-740518,9.78,2025-05-23 16:23:02
79,COUPON-526067,27.01,2025-09-27 16:23:02
80,COUPON-323701,20.89,2025-11-04 16:23:02
81,COUPON-692659,7.31,2025-07-17 16:23:02
82,COUPON-708956,8.07,2025-06-30 16:23:02
83,COUPON-902374,7.89,2025-05-10 16:23:02
84,COUPON-138047,9.34,2025-07-18 16:23:02
85,COUPON-941824,28.78,2025-06-04 16:23:02
86,COUPON-817954,28.51,2025-09-08 16:23:02
87,COUPON-495500,9.11,2025-12-10 16:23:02
88,COUPON-837443,18.2,2025-08-23 16:23:02
89,COUPON-343672,28.69,2025-12-24 16:23:02
90,COUPON-995699,13.99,2026-01-09 16:23:02
91,COUPON-389018,28.65,2025-07-13 16:23:02
92,COUPON-207315,27.55,2025-08-02 16:23:02
93,COUPON-420836,25.61,2026-01-25 16:23:02
94,COUPON-632954,18.65,2025-03-18 16:23:02
95,COUPON-395010,26.31,2025-04-17 16:23:02
96,COUPON-932826,17.43,2025-08-13 16:23:02
97,COUPON-780658,12.25,2025-04-01 16:23:02
98,COUPON-436136,22.92,2025-11-15 16:23:02
99,COUPON-669638,29.93,2025-08-01 16:23:02
100,COUPON-181479,12.47,2025-06-04 16:23:02
101,COUPON-479305,19.3,2025-06-15 16:23:02
102,COUPON-996942,23.45,2025-12-16 16:23:02
103,COUPON-967299,22.47,2025-07-15 16:23:02
104,COUPON-662754,11.86,2025-04-24 16:23:02
105,COUPON-471117,12.16,2025-05-07 16:23:02
106,COUPON-349448,13.19,2025-03-25 16:23:02
107,COUPON-751966,28.07,2026-01-24 16:23:02
108,COUPON-447652,7.12,2025-06-19 16:23:02
109,COUPON-876497,5.47,2025-07-08 16:23:02
110,COUPON-996234,7.4,2025-09-23 16:23:02
111,COUPON-323480,25.18,2025-09-09 16:23:02
112,COUPON-481997,13.76,2025-11-17 16:23:02
113,COUPON-234547,14.45,2025-04-07 16:23:02
114,COUPON-524171,17.48,2025-07-06 16:23:02
115,COUPON-263333,11.81,2025-05-12 16:23:02
116,COUPON-124967,16.61,2025-11-21 16:23:02
117,COUPON-890438,16.64,2025-04-08 16:23:02
