discount_id,product_id,discount_amount,start_date,end_date
1,38,40.13,1736368391,1738707054
2,20,88.74,1735839771,1740888060
3,57,42.25,1737827259,1743171445
4,74,62.96,1736251822,1745084855
5,41,37.3,1737714622,1743329740
6,53,16.29,1737361898,1745203452
7,49,1.37,1736891320,1740738265
8,79,92.12,1737773355,1740110820
9,62,25.64,1737933082,1740226003
10,39,78.06,1736159009,1739044486
11,48,93.15,1737018946,1739896128
12,28,5.27,1737133555,1743364357
13,25,45.46,1735761801,1744602149
14,43,83.54,1738204437,1739013624
15,72,65.66,1737880785,1745388891
16,46,5.45,1736144780,1744928954
17,59,84.22,1736125775,1744582346
18,12,32.53,1737712644,1745170653
19,53,79.79,1737515858,1741109887
20,14,97.26,1735840060,1745524670
21,26,14.77,1735773397,1742520029
22,33,11.09,1736929250,1738390755
23,80,19.43,1737235511,1745288534
24,23,38.15,1736545763,1744156863
25,30,99.28,1735970116,1744451512
26,37,24.05,1736526913,1743442400
27,7,43.43,1736990172,1739949859
28,25,95.52,1735704531,1744274303
29,37,80.96,1736474627,1742166121
30,75,94.7,1737957049,1743184535
31,5,38.98,1736976359,1744830930
32,4,82.12,1735856926,1740468622
33,26,64.34,1737206681,1741819414
34,4,10.1,1737159582,1742210505
35,22,5.5,1736818577,1745571138
36,12,57.75,1737534386,1745616422
37,72,78.67,1736962996,1741792994
38,39,39.27,1737506883,1739605928
39,78,40.72,1736202949,1743948372
40,48,48.13,1736327398,1745368134
41,45,10.94,1737536781,1738806282
42,69,33.62,1737369383,1742688184
43,64,90.87,1737311381,1741096404
44,14,64.89,1736540790,1738917146
45,26,32.14,1736848977,1742512414
46,61,23.17,1737565460,1744826430
47,67,14.58,1736473431,1742029692
48,46,30.05,1737130949,1744151665
49,32,21.83,1736344695,1742384370
50,24,50.1,1737863949,1743923759
51,59,99.22,1736624185,1743715601
52,52,15.44,1736956520,1740297381
53,51,48.33,1736783288,1745341801
54,33,66.17,1737097762,1739416860
55,59,29.94,1736531941,1739638066
56,30,77.28,1736738170,1742179018
57,37,59.85,1737591623,1741288657
58,27,16.89,1737132240,1744967672
59,25,23.43,1736697481,1745726103
60,76,38.62,1735901374,1741233835
61,76,57.07,1736347291,1739725137
62,59,24.38,1738146585,1739707277
63,74,43.57,1736964939,1745097655
64,62,63.74,1736295504,1740606427
65,52,14.15,1736970514,1738915105
66,71,61.07,1737185873,1745945374
67,64,58.96,1737252194,1740943395
68,8,76.44,1736892905,1741159736
69,14,79.15,1736304966,1743889090
70,51,84.96,1736608317,1742530681
71,79,4.47,1736566585,1740874575
72,19,29.63,1735800001,1738594063
73,31,90.6,1738122771,1743089844
74,25,17.3,1738033868,1742465975
75,29,95.9,1738079217,1741264436
76,29,89.56,1738224845,1741619602
77,38,36.85,1738252874,1741475618
78,59,1.68,1736625126,1739473507
79,71,17.17,1736389089,1741982360
80,74,39.61,1737818130,1745451472
81,38,20.13,1737316666,1739325434
82,47,72.03,1737166338,1745565391
83,15,16.8,1737596047,1740471822
84,78,1.04,1736143139,1740531391
85,57,17.08,1735727798,1743608866
86,2,16.02,1737876404,1743387312
87,14,87.0,1737963807,1741963610
88,61,76.1,1736770558,1745727068
89,68,50.01,1737910412,1741360528
90,59,56.0,1737980900,1742036504
91,67,22.09,1737214029,1744749052
92,61,13.42,1736594897,1740969077
93,11,5.46,1736397087,1739482600
94,3,28.81,1738195835,1745750890
95,50,19.81,1736157918,1742313773
96,57,34.57,1736463606,1739279101
97,79,38.2,1736501958,1745041065
98,29,61.34,1737300676,1744058905
99,36,11.71,1736632572,1741869147
100,73,62.13,1737180620,1738481245
101,10,36.24,1736396730,1738488407
102,52,46.15,1737589319,1742028696
103,4,23.76,1737592953,1741998737
104,72,64.49,1736947026,1740043935
105,66,84.91,1736052735,1742506367
106,67,96.03,1735816645,1743272485
107,10,19.31,1737134584,1743504522
108,43,62.05,1738119519,1740386360
109,37,93.59,1735770051,1744785912
110,27,23.79,1736020755,1739533404
111,74,67.14,1738189284,1745924467
112,11,77.37,1737726456,1745982297
113,1,89.71,1737068132,1744138241
114,13,74.54,1736475401,1744178674
115,23,91.73,1737404433,1738430407
116,24,41.79,1736057574,1745528603
117,28,93.13,1737181642,1744154993
118,43,18.16,1736109958,1740954610
119,55,1.21,1737633654,1739400557
120,67,5.22,1737242960,1739403682
121,75,97.12,1736801582,1740556923
122,53,96.56,1736473885,1742544337
123,42,18.76,1736388994,1739858705
124,55,10.04,1736617290,1739641656
125,30,26.42,1736091153,1741553338
126,18,71.8,1737498167,1740752518
127,8,10.28,1736747110,1741723714
128,23,88.34,1737563030,1739704389
