ticket_id,user_id,issue_type,status,created_at
1,9781,Account Access Issue,Open,2025-01-21 22:14:31
2,4519,Refund Request,Open,2025-01-01 04:08:08
3,3416,Payment Issue,Pending,2025-01-14 06:46:30
4,8896,Damaged Product,Resolved,2025-01-04 03:15:23
5,8917,Account Access Issue,Closed,2025-01-11 22:10:58
6,5512,Damaged Product,Closed,2025-01-29 20:24:25
7,445,Account Access Issue,Pending,2025-01-25 06:04:24
8,6702,General Inquiry,Open,2025-01-12 00:06:31
9,7269,Technical Issue,Resolved,2025-01-17 19:32:02
10,3621,Order Not Delivered,Resolved,2025-01-06 23:18:54
11,3444,Refund Request,Pending,2025-01-30 13:13:37
12,4818,Order Not Delivered,Closed,2025-01-17 08:33:06
13,4937,Account Access Issue,Pending,2025-01-27 16:39:41
14,4137,Refund Request,Open,2025-01-12 09:54:01
15,3938,Damaged Product,Resolved,2025-01-18 08:27:04
16,8483,Damaged Product,Closed,2025-01-06 10:37:44
17,2387,Damaged Product,Pending,2025-01-04 04:54:57
18,3811,Technical Issue,Closed,2025-01-26 03:47:02
19,8620,Order Not Delivered,Closed,2025-01-06 05:06:33
20,4776,Wrong Item Received,Open,2025-01-30 04:15:26
21,2685,Technical Issue,Open,2025-01-30 01:07:45
22,567,Order Not Delivered,Closed,2025-01-24 23:32:23
23,4637,Damaged Product,Pending,2025-01-19 01:36:06
24,5879,General Inquiry,Resolved,2025-01-01 04:54:17
25,8808,Account Access Issue,Pending,2025-01-14 20:30:16
26,7120,General Inquiry,Closed,2025-01-16 16:42:24
27,4414,Refund Request,Closed,2025-01-28 07:13:50
28,7615,Technical Issue,Pending,2025-01-11 05:06:38
29,9719,Wrong Item Received,Pending,2025-01-16 02:07:49
30,8581,General Inquiry,Open,2025-01-05 17:29:47
31,997,Order Not Delivered,Closed,2025-01-01 07:00:34
32,3994,Wrong Item Received,Resolved,2025-01-06 16:46:22
33,1593,Payment Issue,Resolved,2025-01-07 10:15:17
34,1082,Refund Request,Pending,2025-01-30 10:03:56
35,5765,Order Not Delivered,Open,2025-01-19 16:13:47
36,433,Account Access Issue,Closed,2025-01-03 01:20:25
37,7450,Refund Request,Pending,2025-01-25 23:27:30
38,3990,Account Access Issue,Closed,2025-01-18 11:24:09
39,2831,Damaged Product,Open,2025-01-22 06:42:56
