shipment_id,order_id,shipping_method_id,tracking_number,estimated_delivery
1,6909,3,2d7bf0dc-7486-44d0-a35d-4409ae0ceed7,2025-02-06 04:24:20
2,17918,3,6730c7e8-839d-4f60-badc-75c7c0dbc8c9,2025-02-13 01:15:25
3,2592,1,de797a7c-8c4a-49ea-a641-a5dbd8a38609,2025-02-06 15:01:08
4,951,5,911dabdb-f871-4e3a-bca3-0aebb3d2b2cb,2025-02-10 05:43:54
5,830,2,289f574e-bc00-4d2f-ba00-295f49ed6ce4,2025-02-17 11:36:14
6,23434,3,34f2062e-7031-489d-a89b-49b8a04b77f8,2025-02-22 23:23:25
7,26581,3,0ff973ed-6e60-44cc-a251-c139203611f2,2025-01-31 09:08:06
8,27557,4,a583c2e9-e957-436d-a3af-25bac936572d,2025-02-28 05:48:39
9,4403,5,5f804315-200e-4f33-93a7-46aff85ac449,2025-02-07 09:11:50
10,1844,4,1278ec6f-7b4d-4959-b2e1-8b2a93e6a16e,2025-02-19 04:53:08
11,934,4,a58bcdf5-52b7-4bc4-ab66-f4243694fbb6,2025-02-28 10:45:56
12,21290,3,a2f1e398-5d7f-49cd-bce6-c966a53bd2e9,2025-03-01 15:23:50
13,5805,2,497ab689-882c-4ee3-a573-e485d84781e8,2025-02-12 08:55:45
14,3084,2,480869a2-5c28-408a-9a20-f0fd04f406ef,2025-02-15 13:09:06
15,25292,3,5efc57a3-fdb1-47c7-a29e-6382af0ce13e,2025-02-17 23:52:49
16,7612,5,e9517bc3-9e43-41d4-b364-41bec674d9cb,2025-02-11 00:33:03
17,27147,3,a63670ce-b592-4bb8-9e8d-ae6765ed174b,2025-02-10 20:44:55
18,24712,3,1a8bb25f-caf8-47dd-9e25-907ea5bb435d,2025-02-10 16:54:18
19,28461,3,ca984a21-58c9-413d-8d48-0a5ea0172693,2025-02-22 03:07:30
20,23494,2,a1ed7b5b-2eab-4069-8f11-cbf6995198bf,2025-02-06 08:24:51
21,19803,3,9f6f5974-3685-47bd-ac45-63dcb3a67e17,2025-02-02 13:16:41
22,1535,3,15d76fb6-036b-477d-b4af-5597e7ef0dc7,2025-02-14 16:58:10
23,10421,4,df49007f-6cce-48f4-9be3-86b15645d26a,2025-02-24 02:42:44
24,12540,1,ed960527-7764-46f0-acf5-57efc6a8dadc,2025-02-09 18:53:09
25,80,1,9eeb7197-87c1-46c0-9e7e-7611301d70e9,2025-02-28 22:39:03
26,27142,4,2d766021-77c1-4f06-9cdc-b4558f69314f,2025-02-01 13:09:10
27,16242,2,29f11dc2-743d-4be1-9fbb-f8d77923c3de,2025-02-11 15:52:32
28,15736,2,1334757b-4608-4022-a1ef-fc2011931b18,2025-02-23 19:16:08
29,28451,1,e7650dc4-e1fc-4f54-9318-38eccbe9aff4,2025-02-23 09:20:08
30,9038,2,544c3efe-d9fc-4c70-a768-8c3419b4ef0a,2025-02-02 23:00:36
31,7316,4,b85decf7-4e0e-4fcb-ad50-f864b2d2f46c,2025-02-17 01:15:53
32,27592,3,45563dee-ed53-45ff-8599-e7b3bc78b733,2025-02-17 06:46:32
33,5098,1,e06d93fe-79a4-4b58-a423-ba0250a08585,2025-02-05 09:23:42
34,1205,4,b7664ca0-beb8-4ccd-96fb-06eef0160587,2025-01-31 12:58:37
35,25249,3,3a74566d-40b6-4c54-b9cf-43467c818192,2025-02-17 12:18:55
36,18399,3,ce574cd2-d8a2-471d-b33f-57926d1492ef,2025-02-02 15:52:11
37,28791,4,953d4c1b-b4a1-45dc-939e-888c732e546d,2025-02-17 02:54:19
38,19482,4,72044146-e1ef-431e-a284-124146562efa,2025-02-03 17:24:27
39,9735,1,fb330d4c-c6a1-425e-bdd9-e64b89dd4c22,2025-02-26 19:30:44
40,142,1,633cebb8-dffe-4520-ab70-e2dbca3b208a,2025-02-04 03:04:33
41,17919,5,efb76e26-f710-4200-94df-9ca09cd64e7e,2025-02-28 06:29:08
42,3482,2,62d674a8-2986-4a84-9b83-36477753889a,2025-02-19 11:58:04
43,24446,3,89cdeaaf-f29d-44fe-bb2b-795b78bf3116,2025-02-03 11:06:17
44,18978,1,82f12af1-9b77-43e3-8ba1-590c3ba908b4,2025-02-17 17:25:06
45,777,1,515957ac-81f3-4755-ade5-a565038fa75d,2025-02-12 18:55:48
46,29695,5,310bdf78-226b-47a8-a45d-501266677de6,2025-02-20 16:23:01
47,20183,4,3d7c80d5-8c08-4f0c-b7c6-83fee6cc244e,2025-02-11 13:17:11
48,20237,3,2269a14a-2feb-4be5-b21d-b7888725db9f,2025-02-28 22:09:00
49,15620,3,9892abd1-e7d1-4b7a-b975-320f3a1a9215,2025-02-13 02:19:35
50,21719,3,7493f7dc-b0b9-46fd-885a-e3168b4de015,2025-02-26 08:12:44
51,1613,3,d2c7d4dc-14bd-4ca6-a3ec-243c4fd1c0fa,2025-02-06 06:29:52
52,22774,5,77a61d1a-15be-4c24-b7a6-64a321804bd8,2025-02-24 12:00:02
53,820,1,e4af3729-1cf0-402b-a16e-1928d5764617,2025-01-30 21:55:31
54,24153,4,d475a4cc-56ca-42d6-8378-65abe304099c,2025-02-24 02:40:52
55,13534,3,09e4417e-34b8-4d88-9ba2-b6ae41a5ea13,2025-01-30 18:04:04
56,14504,2,ad0bdc14-2156-4ba1-b73d-798f654a135f,2025-02-02 14:18:08
57,26095,2,155d2c1b-cbad-4eab-82ef-f1a47c95eb09,2025-02-12 02:24:09
58,14445,5,75f50bb3-d923-405d-8cee-f4e927cef265,2025-02-04 23:04:39
59,16533,3,69eb1333-ed32-4015-b6fd-5ead468a2011,2025-02-07 15:24:51
60,18392,5,92fbe7a6-7a51-4c29-8865-bd18c9a77099,2025-02-20 17:08:32
61,14710,4,f982f136-7b18-4446-be15-df3e00b288a4,2025-02-02 13:33:18
62,18576,3,f25a2e0b-fce0-4543-94a8-788bd8b77f19,2025-02-25 13:58:34
63,8096,1,2acf703b-f77d-4898-9358-96ed7920776d,2025-02-14 20:01:34
64,22782,3,b432836a-94f0-451a-88db-b6a90e98c198,2025-01-31 10:44:12
65,16384,4,2167cb0d-aecf-4341-add9-4da75f7009b7,2025-02-09 09:50:58
66,26165,3,be18c03a-bd50-4a5b-b159-f4e93512051a,2025-02-19 16:40:45
