tracking_id,shipment_id,status,location,updated_at
1,8464,Out for Delivery,Davidstad,2025-01-10 05:06:42
2,17592,Dispatched,North Michaelstad,2025-01-11 15:58:50
3,2386,Out for Delivery,Garciafort,2025-01-20 06:18:53
4,11225,Out for Delivery,Jeremyton,2025-01-08 03:11:35
5,3807,Dispatched,Port Tiffanyside,2025-01-08 16:25:32
6,14563,Dispatched,Watersside,2025-01-02 20:11:32
7,21635,In Transit,New Maria,2025-01-21 12:31:23
8,14047,Delivered,Port Pamela,2025-01-20 00:28:34
9,17555,Dispatched,Floresmouth,2025-01-04 00:38:22
10,3424,Delivered,West Marissa,2025-01-04 12:28:51
11,8272,Out for Delivery,West Chad,2025-01-21 15:06:52
12,233,Dispatched,West Kevinmouth,2025-01-06 17:24:35
13,8351,In Transit,Cohenview,2025-01-17 12:24:29
14,3265,Dispatched,South Karenberg,2025-01-02 15:14:35
15,18194,Dispatched,Bondview,2025-01-08 01:47:50
16,4078,In Transit,West Edward,2025-01-23 06:48:22
17,18125,Delivered,New Paul,2025-01-04 14:26:00
18,22884,Dispatched,Millerfort,2025-01-15 04:25:26
19,23224,Dispatched,East Nancy,2025-01-09 23:58:33
20,12291,Out for Delivery,Amandaland,2025-01-11 18:49:02
21,13214,Dispatched,West Hannah,2025-01-05 21:23:01
22,20045,In Transit,North Andrea,2025-01-14 15:57:41
23,21023,Dispatched,Willisshire,2025-01-06 02:51:36
24,18133,In Transit,Mayville,2025-01-23 10:43:36
25,11003,Delivered,Mooreside,2025-01-05 07:01:11
26,11469,Dispatched,Rosebury,2025-01-22 05:15:23
27,24859,Out for Delivery,Brandttown,2025-01-05 18:33:28
28,5972,In Transit,Port Michael,2025-01-07 04:24:51
29,2252,Dispatched,North Stephenfurt,2025-01-26 02:23:13
30,10731,Out for Delivery,Tammyfort,2025-01-06 19:54:54
31,20321,Out for Delivery,West Raymondberg,2025-01-29 08:29:56
32,12377,Out for Delivery,Kellyshire,2025-01-02 03:44:02
33,11195,Delivered,South John,2025-01-21 14:54:16
34,11505,Dispatched,South Ashlee,2025-01-01 18:28:57
35,21920,Delivered,Johnsonside,2025-01-20 04:09:36
36,7085,Delivered,Michellemouth,2025-01-30 05:30:54
37,8426,In Transit,South Daniel,2025-01-30 05:49:57
38,14112,Out for Delivery,Henryside,2025-01-08 10:33:46
39,2510,Out for Delivery,Grantchester,2025-01-14 16:53:33
40,10823,Delivered,West Erin,2025-01-20 15:13:34
41,3485,Delivered,South Jillmouth,2025-01-30 07:58:15
42,22433,In Transit,Richardberg,2025-01-13 12:52:50
43,17751,Delivered,New Darrelltown,2025-01-09 00:23:45
44,23045,Dispatched,Murphyfurt,2025-01-15 05:24:59
45,9,Delivered,North Karenton,2025-01-10 09:11:22
46,19261,In Transit,Mooretown,2025-01-07 17:16:46
47,13671,Out for Delivery,Welchmouth,2025-01-13 00:58:42
48,12535,Delivered,Jacobtown,2025-01-20 02:59:06
49,9169,Delivered,Elizabethfurt,2025-01-27 01:15:56
50,20712,In Transit,East Dillonbury,2025-01-30 02:21:57
51,4212,Dispatched,Lake Joseph,2025-01-04 23:50:53
52,5819,Out for Delivery,New Karenchester,2025-01-22 16:05:41
53,22686,In Transit,Stephensview,2025-01-09 12:02:59
54,3336,Out for Delivery,Port Bonnieland,2025-01-16 06:21:27
55,12317,Delivered,West James,2025-01-09 02:02:52
56,6673,Out for Delivery,Conradtown,2025-01-27 10:00:11
57,3779,In Transit,Schneidertown,2025-01-15 06:06:39
58,9203,Dispatched,Port Todd,2025-01-17 15:39:16
59,5118,Dispatched,Elizabethport,2025-01-27 05:31:21
60,22581,In Transit,Whitefurt,2025-01-13 15:29:27
61,20627,In Transit,Lake Valerie,2025-01-04 03:55:48
62,16731,Out for Delivery,South Jesse,2025-01-16 08:49:53
63,10762,In Transit,Kennedyhaven,2025-01-15 05:34:36
64,18225,Dispatched,Jefftown,2025-01-26 08:04:40
65,13002,In Transit,Scottmouth,2025-01-10 14:04:39
66,15916,In Transit,East Lauren,2025-01-03 03:52:39
67,19046,Out for Delivery,Davisfort,2025-01-01 23:47:55
68,16342,In Transit,Lake Kimtown,2025-01-21 23:40:12
69,8162,Dispatched,Portertown,2025-01-29 02:05:47
